ID,Name,Final_Prompt
maj_00,The Fool,"Vast white empty space. In the bottom right corner, a single small footprint about to step off the visible edge into whiteness. That is all. The footprint is detailed but tiny. 90% pure white. Mood: minimalist zen with profound emptiness, the journey exists in the space not shown., Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, flux style, crisp details, sharp focus, tarot card composition"
maj_01,The Magician,"Pure white space. In the center, four tiny objects arranged in a small compass pattern - a matchstick, a thimble, a needle, a coin - each exquisitely detailed but collectively occupying less than 5% of the card. One small hand reaching from below. Vast emptiness. Minimalist perfection., Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, flux style, crisp details, sharp focus, tarot card composition"
maj_02,The High Priestess,"Endless white. In the upper third, two small vertical lines suggesting pillars. Between them, barely visible, a crescent moon. Nothing else. The mystery is the white space itself. 95% empty. Subtle ink wash style. Profound absence., Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, flux style, crisp details, sharp focus, tarot card composition"
maj_03,The Empress,"White vastness. Lower corner: a single pomegranate seed, cut open, detailed and beautiful. A tiny wheat stalk beside it. That is all. The abundance is implied by whiteness. Extreme minimalism with exquisite detail on the seed., Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, flux style, crisp details, sharp focus, tarot card composition"
maj_04,The Emperor,"Pure white space. Upper center: a tiny throne drawn in the simplest line art, no one sitting in it. Small and empty. The authority is absence. 92% white. Japanese brush aesthetic. The emperor is whoever chooses to sit., Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, flux style, crisp details, sharp focus, tarot card composition"
maj_05,The Hierophant,"Whiteness. Center: two small keys crossed, rendered in delicate detail but tiny. Above them, three barely visible horizontal lines suggesting steps. Nothing else. Tradition exists in empty space. Zen minimalism., Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, flux style, crisp details, sharp focus, tarot card composition"
maj_06,The Lovers,"Vast white. In the middle: two small hands reaching toward each other from opposite sides of the card, not touching, separated by white space. That space IS the card. Exquisite hand details but tiny. 88% empty., Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, flux style, crisp details, sharp focus, tarot card composition"
maj_07,The Chariot,"White expanse. Bottom corner: a single chariot wheel, small and detailed. That's all. The movement is in the whiteness. The journey is what you imagine. Radical minimalism. One perfect wheel in vast space., Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, flux style, crisp details, sharp focus, tarot card composition"
maj_08,Strength,"Pure white. Lower corner: a small detailed hand gently holding a single lion's claw. Nothing else shown. The strength is gentleness. The lion exists in white space. 90% empty. Profound simplicity., Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, flux style, crisp details, sharp focus, tarot card composition"
maj_09,The Hermit,"Whiteness. Upper corner: one small lantern glowing faintly, exquisitely rendered but tiny. One set of footprints leading up. That is everything. Solitude is the white space. Minimalist perfection., Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, flux style, crisp details, sharp focus, tarot card composition"
maj_10,Wheel of Fortune,"Vast white. Exact center: a tiny mandala-like wheel, intricate but small. Four dots at cardinal points around it in the emptiness. The wheel turns through whiteness. 93% empty space. Fortune in absence., Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, flux style, crisp details, sharp focus, tarot card composition"
maj_11,Justice,"White expanse. Center: tiny balance scales, perfectly level, each pan empty. Sword tip visible below. Small and precise. Justice is the equal whiteness in both pans. Zen aesthetic., Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, flux style, crisp details, sharp focus, tarot card composition"
maj_12,The Hanged Man,"Pure white. One corner: a single rope knot. Small and detailed. The hanging figure exists in your imagination. The sacrifice is the emptiness. 94% white space. Profound minimalism., Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, flux style, crisp details, sharp focus, tarot card composition"
maj_13,Death,"Whiteness. Lower corner: a single empty chair, small and precisely rendered. That is all. Death is the absence in the chair. Transformation is the white space. Japanese ink aesthetic. Quiet., Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, flux style, crisp details, sharp focus, tarot card composition"
